dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,lgbm_colsample_bytree,lgbm_learning_rate,lgbm_max_depth,lgbm_n_estimators,lgbm_subsample
datasets/BPI_Challenge_2019.xes,prefix,100,Baseline,0.890625,0.8765093917710197,258,65,Success,38.1922652721405,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,100,OHE,0.875,0.8515625,258,65,Success,24.678680419921875,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,100,Bigram,0.90625,0.8800803346951602,258,65,Success,26.092174768447876,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,100,W2V,0.9375,0.9379870129870129,258,65,Success,32.4854850769043,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,100,D2V,0.8769230769230769,0.8685937921727396,258,65,Success,62.661134004592896,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,100,BERT,0.9375,0.9298986486486487,258,65,Success,65.33060932159424,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,100,ACF,0.890625,0.8913102159468438,258,65,Success,771.6414697170258,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,150,Baseline,0.9285714285714286,0.9264985014985017,233,57,Success,37.7902135848999,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,150,OHE,0.9107142857142857,0.8976731601731601,233,57,Success,26.257466077804565,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,150,Bigram,0.9107142857142857,0.8976731601731601,233,57,Success,26.18777084350586,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,150,W2V,0.9642857142857143,0.9701400464097788,233,57,Success,29.434361457824707,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,150,D2V,0.8596491228070176,0.8576111997164628,233,57,Success,56.091963052749634,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,150,BERT,0.9285714285714286,0.9279911964785914,233,57,Success,56.21847176551819,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,150,ACF,0.8928571428571429,0.9239388660120368,233,57,Success,777.3537640571594,1.0,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,200,Baseline,0.88,0.8534805194805195,215,51,Success,36.37035655975342,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,200,OHE,0.84,0.7813675213675214,215,51,Success,26.19512701034546,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,200,Bigram,0.84,0.7804035964035964,215,51,Success,25.79638147354126,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,200,W2V,0.96,0.9478431372549019,215,51,Success,28.173645734786987,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,200,D2V,0.8235294117647058,0.7639029403735287,215,51,Success,52.11398267745972,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,200,BERT,0.92,0.9072380952380952,215,51,Success,52.323195695877075,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,200,ACF,0.88,0.8691764705882353,215,51,Success,729.8509452342987,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,300,Baseline,0.8863636363636364,0.8691008323706271,185,46,Success,35.09191966056824,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,300,OHE,0.7272727272727273,0.6565249266862171,185,46,Success,24.30840253829956,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,300,Bigram,0.8181818181818182,0.7839768654284783,185,46,Success,21.2282452583313,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,300,W2V,1.0,1.0,185,46,Success,25.870038986206055,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,300,D2V,0.8043478260869565,0.7720897615708274,185,46,Success,40.1271915435791,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,300,BERT,0.9090909090909091,0.9181818181818181,185,46,Success,43.478655099868774,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,300,ACF,0.8636363636363636,0.8395517676767678,185,46,Success,579.4045112133026,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,400,Baseline,0.9285714285714286,0.8955266955266955,168,43,Success,38.16015291213989,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,400,OHE,0.7619047619047619,0.6939324116743472,168,43,Success,29.05614709854126,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,400,Bigram,0.7380952380952381,0.6702517788724686,168,43,Success,24.745471715927124,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,400,W2V,0.9523809523809523,0.9301587301587301,168,43,Success,26.750270128250122,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,400,D2V,0.8372093023255814,0.8160373426690006,168,43,Success,42.393630266189575,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,400,BERT,0.9285714285714286,0.9400352733686067,168,43,Success,48.98173952102661,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,400,ACF,0.8809523809523809,0.8594599525634008,168,43,Success,654.3180825710297,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,500,Baseline,0.9230769230769231,0.8896321070234114,149,40,Success,35.13638496398926,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,500,OHE,0.717948717948718,0.6271367521367522,149,40,Success,28.86577868461609,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,500,Bigram,0.6923076923076923,0.6185383244206774,149,40,Success,20.750116109848022,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,500,W2V,0.9487179487179487,0.927960927960928,149,40,Success,25.249054670333862,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,500,D2V,0.8,0.7714880952380951,149,40,Success,36.15430569648743,1.0,0.05,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,500,BERT,0.9230769230769231,0.8896321070234114,149,40,Success,37.33990955352783,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,500,ACF,0.8205128205128205,0.7902184235517569,149,40,Success,449.07325053215027,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,600,Baseline,0.9459459459459459,0.9206479206479207,143,38,Success,28.89931011199951,1.0,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,600,OHE,0.7837837837837838,0.7267267267267268,143,38,Success,22.222978830337524,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,600,Bigram,0.8108108108108109,0.7406692406692406,143,38,Success,16.149245262145996,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,600,W2V,0.9459459459459459,0.9459459459459459,143,38,Success,18.75357413291931,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,600,D2V,0.8421052631578947,0.853129199811122,143,38,Success,29.16816234588623,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,600,BERT,0.972972972972973,0.9606879606879607,143,38,Success,29.947320699691772,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,600,ACF,0.8918918918918919,0.8918918918918919,143,38,Success,335.0776846408844,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,700,Baseline,0.8285714285714286,0.7820171546879621,135,36,Success,31.536348819732666,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,700,OHE,0.7428571428571429,0.6439183673469387,135,36,Success,25.422701358795166,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,700,Bigram,0.6857142857142857,0.6133096716947649,135,36,Success,17.82337737083435,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,700,W2V,0.8857142857142857,0.8732919254658386,135,36,Success,20.439341068267822,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,700,D2V,0.8333333333333334,0.761574074074074,135,36,Success,29.062017917633057,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,700,BERT,0.8571428571428571,0.8311150547175391,135,36,Success,29.839712142944336,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,700,ACF,0.7714285714285715,0.7232771369417331,135,36,Success,362.6051228046417,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,800,Baseline,0.8571428571428571,0.8319109461966605,122,36,Success,35.249924182891846,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,800,OHE,0.7428571428571429,0.6952380952380952,122,36,Success,29.202573537826538,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,800,Bigram,0.7714285714285715,0.7247165532879818,122,36,Success,19.135215282440186,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,prefix,800,W2V,0.9428571428571428,0.9568027210884354,122,36,Success,22.02619695663452,1.0,0.1,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,800,D2V,0.8611111111111112,0.8365800865800865,122,36,Success,29.373587608337402,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2019.xes,prefix,800,BERT,0.8857142857142857,0.9114285714285714,122,36,Success,31.777127742767334,1.0,0.1,-1,200,0.8
datasets/BPI_Challenge_2019.xes,prefix,800,ACF,0.8857142857142857,0.8987301587301587,122,36,Success,343.629757642746,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,100,Baseline,0.90625,0.9288926393728223,258,65,Success,30.969902992248535,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,last3,100,OHE,0.875,0.8401009835752482,258,65,Success,20.848979234695435,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,100,Bigram,0.859375,0.8284468438538206,258,65,Success,19.035418272018433,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,100,W2V,0.9375,0.9452709717607972,258,65,Success,39.45117950439453,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,last3,100,D2V,0.9230769230769231,0.9022083179977918,258,65,Success,65.23687362670898,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,100,BERT,0.921875,0.9225093438538206,258,65,Success,42.3620388507843,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,last3,100,ACF,0.9375,0.9333575581395348,258,65,Success,199.57104992866516,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,100,Baseline,0.921875,0.9325892857142857,258,65,Success,33.02505111694336,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,100,OHE,0.890625,0.8481366978609626,258,65,Success,21.48747444152832,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,last5,100,Bigram,0.890625,0.8481366978609626,258,65,Success,19.252792358398438,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,100,W2V,0.921875,0.9297767857142856,258,65,Success,36.39691090583801,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,100,D2V,0.8461538461538461,0.8316260316260317,258,65,Success,62.56456780433655,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,100,BERT,0.953125,0.9460227272727273,258,65,Success,50.186903953552246,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,100,ACF,0.953125,0.9460227272727273,258,65,Success,220.46506261825562,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last10,100,Baseline,0.890625,0.8913102159468438,258,65,Success,34.89006447792053,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last10,100,OHE,0.875,0.8401590287277702,258,65,Success,22.20776104927063,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last10,100,Bigram,0.90625,0.8757102272727273,258,65,Success,20.585699319839478,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last10,100,W2V,0.921875,0.9300093438538206,258,65,Success,37.06210279464722,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last10,100,D2V,0.9076923076923077,0.8726045883940621,258,65,Success,65.64085149765015,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last10,100,BERT,0.96875,0.9600852272727273,258,65,Success,55.828125953674316,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last10,100,ACF,0.90625,0.8993459302325582,258,65,Success,289.8598141670227,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last20,100,Baseline,0.90625,0.8937742248062015,258,65,Success,35.7662193775177,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last20,100,OHE,0.890625,0.8481366978609626,258,65,Success,22.29241967201233,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last20,100,Bigram,0.875,0.8306191770186334,258,65,Success,20.98190450668335,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last20,100,W2V,0.9375,0.9452709717607972,258,65,Success,36.19594383239746,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2019.xes,last20,100,D2V,0.9076923076923077,0.8969027703911424,258,65,Success,65.12320137023926,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2019.xes,last20,100,BERT,0.953125,0.9520495129870129,258,65,Success,58.76506805419922,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last20,100,ACF,0.921875,0.8945573708206687,258,65,Success,433.79434418678284,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,150,Baseline,0.9642857142857143,0.9789682539682539,233,57,Success,25.979214668273926,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,150,OHE,0.9464285714285714,0.9249999999999999,233,57,Success,16.213037967681885,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,150,Bigram,0.9285714285714286,0.910515873015873,233,57,Success,15.700998544692993,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,150,W2V,0.9642857142857143,0.9701400464097788,233,57,Success,31.00319528579712,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,150,D2V,0.9298245614035088,0.9362750310118731,233,57,Success,52.30553579330444,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,150,BERT,0.9642857142857143,0.9642697988286224,233,57,Success,35.29329252243042,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last3,150,ACF,0.9285714285714286,0.9364270020904769,233,57,Success,164.3750147819519,1.0,0.05,-1,200,0.8
datasets/BPI_Challenge_2019.xes,last5,150,Baseline,0.9642857142857143,0.9703102453102453,233,57,Success,29.17215061187744,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,150,OHE,0.9285714285714286,0.9072150072150073,233,57,Success,17.54117202758789,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2019.xes,last5,150,Bigram,0.9285714285714286,0.910515873015873,233,57,Success,16.831172466278076,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,150,W2V,0.9642857142857143,0.9701400464097788,233,57,Success,30.48111057281494,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2019.xes,last5,150,D2V,0.8771929824561403,0.8744566407105107,233,57,Success,55.3949933052063,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2019.xes,last5,150,BERT,0.9821428571428571,0.9822150072150072,233,57,Success,41.754724979400635,0.8,0.05,-1,100,0.8
