dataset;strategy;length_or_k;method;accuracy;f1_score;train_size;test_size;status;grid_search_time;rf_max_depth;rf_max_features;rf_min_samples_leaf;rf_min_samples_split;rf_n_estimators
datasets/BPI_Challenge_2013_incidents.xes;prefix;125;Bigram;0.53125;0.433673469;115;32;Success;4.305.143.833;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;125;W2V;0.65625;0.574337121;115;32;Success;4.201.521.635;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;125;D2V;0.65625;0.544883578;115;32;Success;4.425.802.708;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;125;BERT;0.65625;0.572193878;115;32;Success;4.660.156.727;10;log2;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;125;ACF;0.5625;0.482481061;115;32;Success;4.888.061.047;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;150;OHE;0.653846154;0.516994633;92;26;Success;4.524.809.122;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;150;Bigram;0.5;0.447368421;92;26;Success;4.056.932.211;10;sqrt;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;150;W2V;0.615384615;0.550382366;92;26;Success;4.210.114.479;10;sqrt;1;5;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;150;D2V;0.538461538;0.469428008;92;26;Success;4.489.845.276;10;sqrt;1;5;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;150;BERT;0.538461538;0.469428008;92;26;Success;5.183.224.916;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;150;ACF;0.538461538;0.469428008;92;26;Success;4.510.150.671;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;10;OHE;0.695294785;0.627098404;45155;10584;Success;4.589.904.833;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;10;Bigram;0.679988662;0.574792287;45155;10584;Success;2.780.467.391;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;10;W2V;0.676681784;0.595744165;45155;10584;Success;3.481.454.301;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;10;D2V;0.682350718;0.587430297;45155;10584;Success;5.886.021.705;20;sqrt;2;5;200
