dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,rf_max_depth,rf_max_features,rf_min_samples_leaf,rf_min_samples_split,rf_n_estimators
datasets/BPI_Challenge_2018.xes,prefix,100,Baseline,0.43333333333333335,0.3429292929292929,123,31,Success,36.28561997413635,20,log2,1,2,200
datasets/BPI_Challenge_2018.xes,prefix,100,OHE,0.43333333333333335,0.32555555555555554,123,31,Success,4.948037147521973,10,sqrt,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,100,Bigram,0.36666666666666664,0.2715018315018315,123,31,Success,4.835162878036499,20,log2,2,5,200
datasets/BPI_Challenge_2018.xes,prefix,100,W2V,0.43333333333333335,0.37301587301587297,123,31,Success,4.550677537918091,20,log2,2,5,200
datasets/BPI_Challenge_2018.xes,prefix,100,D2V,0.25806451612903225,0.2230769230769231,123,31,Success,5.050423622131348,10,sqrt,2,5,200
datasets/BPI_Challenge_2018.xes,prefix,100,BERT,0.5666666666666667,0.532360248447205,123,31,Success,4.448038578033447,20,sqrt,1,5,100
datasets/BPI_Challenge_2018.xes,prefix,100,ACF,0.4,0.37178743961352656,123,31,Success,10.006019830703735,10,sqrt,2,5,100
datasets/BPI_Challenge_2018.xes,prefix,150,Baseline,0.43333333333333335,0.3372549019607843,121,31,Success,4.543380975723267,10,log2,2,2,100
datasets/BPI_Challenge_2018.xes,prefix,150,OHE,0.5,0.403921568627451,121,31,Success,4.837257623672485,20,sqrt,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,150,Bigram,0.4666666666666667,0.3825,121,31,Success,4.42952299118042,20,sqrt,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,150,W2V,0.5666666666666667,0.5491021324354658,121,31,Success,4.649388313293457,10,sqrt,1,5,200
datasets/BPI_Challenge_2018.xes,prefix,150,D2V,0.3548387096774194,0.3155030309036552,121,31,Success,4.595117092132568,20,log2,1,5,100
datasets/BPI_Challenge_2018.xes,prefix,150,BERT,0.5,0.42,121,31,Success,4.981584787368774,10,sqrt,1,5,200
datasets/BPI_Challenge_2018.xes,prefix,150,ACF,0.36666666666666664,0.31806239737274217,121,31,Success,9.269922018051147,10,sqrt,2,2,100
datasets/BPI_Challenge_2018.xes,prefix,200,Baseline,0.35714285714285715,0.24334975369458128,119,31,Success,4.566133737564087,10,log2,2,5,200
datasets/BPI_Challenge_2018.xes,prefix,200,OHE,0.35714285714285715,0.23317972350230415,119,31,Success,5.263468027114868,10,log2,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,200,Bigram,0.39285714285714285,0.25460829493087556,119,31,Success,4.623330593109131,10,log2,2,5,200
datasets/BPI_Challenge_2018.xes,prefix,200,W2V,0.42857142857142855,0.3654761904761905,119,31,Success,4.6939921379089355,10,sqrt,2,2,100
datasets/BPI_Challenge_2018.xes,prefix,200,D2V,0.3870967741935484,0.26760319112036074,119,31,Success,4.676669120788574,20,sqrt,2,5,100
datasets/BPI_Challenge_2018.xes,prefix,200,BERT,0.5357142857142857,0.46572871572871577,119,31,Success,4.829484939575195,10,log2,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,200,ACF,0.5357142857142857,0.48537414965986386,119,31,Success,8.742912530899048,10,sqrt,1,5,100
datasets/BPI_Challenge_2018.xes,prefix,400,Baseline,0.5769230769230769,0.5,113,29,Success,4.463134527206421,20,log2,1,2,200
datasets/BPI_Challenge_2018.xes,prefix,400,OHE,0.6538461538461539,0.5446985446985447,113,29,Success,5.063152074813843,20,sqrt,1,2,200
datasets/BPI_Challenge_2018.xes,prefix,400,Bigram,0.6923076923076923,0.6461538461538462,113,29,Success,4.342560291290283,10,sqrt,2,2,200
datasets/BPI_Challenge_2018.xes,prefix,400,W2V,0.5,0.47115384615384615,113,29,Success,4.335094690322876,10,log2,2,5,100
datasets/BPI_Challenge_2018.xes,prefix,400,D2V,0.4827586206896552,0.4590656284760845,113,29,Success,4.446166515350342,10,sqrt,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,400,BERT,0.6923076923076923,0.6536935286935287,113,29,Success,4.613116979598999,20,sqrt,1,2,200
datasets/BPI_Challenge_2018.xes,prefix,400,ACF,0.5769230769230769,0.5557976506252368,113,29,Success,8.05577564239502,10,log2,2,5,200
datasets/BPI_Challenge_2018.xes,prefix,600,Baseline,0.5517241379310345,0.46901211556383976,111,29,Success,4.325466632843018,10,sqrt,1,5,100
datasets/BPI_Challenge_2018.xes,prefix,600,OHE,0.6206896551724138,0.5258620689655172,111,29,Success,5.030997037887573,10,sqrt,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,600,Bigram,0.5172413793103449,0.45619757688723206,111,29,Success,4.212287902832031,20,log2,1,2,200
datasets/BPI_Challenge_2018.xes,prefix,600,W2V,0.5862068965517241,0.5910782703886152,111,29,Success,4.134386301040649,10,sqrt,1,5,100
datasets/BPI_Challenge_2018.xes,prefix,600,D2V,0.5517241379310345,0.45775357935067557,111,29,Success,4.3485822677612305,10,sqrt,1,5,200
datasets/BPI_Challenge_2018.xes,prefix,600,BERT,0.5862068965517241,0.5461262875055979,111,29,Success,4.512441396713257,10,sqrt,2,2,200
datasets/BPI_Challenge_2018.xes,prefix,600,ACF,0.4482758620689655,0.4448152267952046,111,29,Success,8.325355529785156,10,log2,1,5,100
datasets/BPI_Challenge_2018.xes,prefix,800,Baseline,0.36,0.23692307692307693,108,27,Success,4.506895065307617,20,sqrt,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,800,OHE,0.28,0.15448275862068966,108,27,Success,5.379914999008179,10,sqrt,1,2,200
datasets/BPI_Challenge_2018.xes,prefix,800,Bigram,0.4,0.3051428571428571,108,27,Success,4.268419981002808,10,sqrt,1,5,100
datasets/BPI_Challenge_2018.xes,prefix,800,W2V,0.4,0.27692307692307694,108,27,Success,4.200964450836182,10,log2,2,2,100
datasets/BPI_Challenge_2018.xes,prefix,800,D2V,0.37037037037037035,0.3088888888888889,108,27,Success,4.440340995788574,10,log2,2,5,100
datasets/BPI_Challenge_2018.xes,prefix,800,BERT,0.52,0.5010793650793651,108,27,Success,4.5172812938690186,10,log2,1,5,200
datasets/BPI_Challenge_2018.xes,prefix,800,ACF,0.32,0.24710649350649347,108,27,Success,11.333362340927124,10,log2,2,2,100
datasets/BPI_Challenge_2018.xes,prefix,1000,Baseline,0.32,0.21333333333333332,105,27,Success,4.528928518295288,10,log2,2,2,100
datasets/BPI_Challenge_2018.xes,prefix,1000,OHE,0.4,0.2977777777777778,105,27,Success,5.300909757614136,10,sqrt,2,2,100
datasets/BPI_Challenge_2018.xes,prefix,1000,Bigram,0.52,0.4292857142857143,105,27,Success,4.552942991256714,20,sqrt,1,5,200
datasets/BPI_Challenge_2018.xes,prefix,1000,W2V,0.6,0.5529523809523809,105,27,Success,4.625749111175537,10,log2,1,2,100
datasets/BPI_Challenge_2018.xes,prefix,1000,D2V,0.37037037037037035,0.28890245556912225,105,27,Success,4.5576698780059814,10,log2,2,2,100
datasets/BPI_Challenge_2018.xes,prefix,1000,BERT,0.48,0.4483809523809523,105,27,Success,4.447996616363525,10,sqrt,1,5,200
