dataset,strategy,length_or_k,method,n_train_traces,n_test_traces,n_features,train_matrix_bytes,test_matrix_bytes,encode_time_seconds,encode_time_per_trace_ms,pretrain_time_seconds
datasets/BPI_Challenge_2017.xes,last20,150,OHE,116,22,355,28308,5216,0.006,0.0437,
datasets/BPI_Challenge_2017.xes,last20,150,Bigram,116,22,112,103936,19712,0.0048,0.0345,
datasets/BPI_Challenge_2017.xes,last20,150,W2V,116,22,48,22272,4224,0.0004,0.0026,0.0096
datasets/BPI_Challenge_2017.xes,last20,150,D2V,116,22,64,29696,5632,0.0636,0.4605,6.4994
datasets/BPI_Challenge_2017.xes,last20,150,BERT,116,22,128,59392,11264,0.1217,0.8819,3.1749
datasets/BPI_Challenge_2017.xes,last20,150,ACF,116,22,8110,7526080,1427360,0.0087,0.0633,0.7472
datasets/BPI_Challenge_2017.xes,last3,200,Baseline,116,22,3,696,132,0.0023,0.0164,
datasets/BPI_Challenge_2017.xes,last3,200,OHE,116,22,50,4644,848,0.0017,0.0121,
datasets/BPI_Challenge_2017.xes,last3,200,Bigram,116,22,69,64032,12144,0.0026,0.0188,
datasets/BPI_Challenge_2017.xes,last3,200,W2V,116,22,48,22272,4224,0.0003,0.0024,0.0054
datasets/BPI_Challenge_2017.xes,last3,200,D2V,116,22,64,29696,5632,0.0498,0.3605,6.0843
datasets/BPI_Challenge_2017.xes,last3,200,BERT,116,22,128,59392,11264,0.1177,0.8526,407.3077
datasets/BPI_Challenge_2017.xes,last3,200,ACF,116,22,8110,7526080,1427360,0.0029,0.0211,0.7837
datasets/BPI_Challenge_2017.xes,last5,200,Baseline,116,22,5,1160,220,0.0045,0.0329,
datasets/BPI_Challenge_2017.xes,last5,200,OHE,116,22,85,7428,1364,0.0037,0.0265,
datasets/BPI_Challenge_2017.xes,last5,200,Bigram,116,22,82,76096,14432,0.0056,0.0405,
datasets/BPI_Challenge_2017.xes,last5,200,W2V,116,22,48,22272,4224,0.0006,0.0045,0.0057
datasets/BPI_Challenge_2017.xes,last5,200,D2V,116,22,64,29696,5632,0.084,0.609,13.4469
datasets/BPI_Challenge_2017.xes,last5,200,BERT,116,22,128,59392,11264,0.192,1.3914,9.0187
datasets/BPI_Challenge_2017.xes,last5,200,ACF,116,22,8110,7526080,1427360,0.0082,0.0595,1.4699
datasets/BPI_Challenge_2017.xes,last10,200,Baseline,116,22,10,2320,440,0.0051,0.0373,
datasets/BPI_Challenge_2017.xes,last10,200,OHE,116,22,177,14388,2672,0.0036,0.0263,
datasets/BPI_Challenge_2017.xes,last10,200,Bigram,116,22,96,89088,16896,0.0039,0.0283,
datasets/BPI_Challenge_2017.xes,last10,200,W2V,116,22,48,22272,4224,0.0004,0.0026,0.0076
datasets/BPI_Challenge_2017.xes,last10,200,D2V,116,22,64,29696,5632,0.0561,0.4069,12.854
datasets/BPI_Challenge_2017.xes,last10,200,BERT,116,22,128,59392,11264,0.1182,0.8563,47.6815
datasets/BPI_Challenge_2017.xes,last10,200,ACF,116,22,8110,7526080,1427360,0.0056,0.0407,0.8262
datasets/BPI_Challenge_2017.xes,last20,200,Baseline,116,22,20,4640,880,0.0144,0.1044,
datasets/BPI_Challenge_2017.xes,last20,200,OHE,116,22,359,28308,5240,0.0103,0.0743,
datasets/BPI_Challenge_2017.xes,last20,200,Bigram,116,22,121,112288,21296,0.0085,0.0614,
datasets/BPI_Challenge_2017.xes,last20,200,W2V,116,22,48,22272,4224,0.0007,0.0048,0.0085
datasets/BPI_Challenge_2017.xes,last20,200,D2V,116,22,64,29696,5632,0.1063,0.7703,13.6856
datasets/BPI_Challenge_2017.xes,last20,200,BERT,116,22,128,59392,11264,0.1821,1.3199,9.1073
datasets/BPI_Challenge_2017.xes,last20,200,ACF,116,22,8110,7526080,1427360,0.0212,0.1539,1.4572
datasets/BPI_Challenge_2017.xes,last3,400,Baseline,113,22,3,678,132,0.0026,0.0195,
datasets/BPI_Challenge_2017.xes,last3,400,OHE,113,22,51,4524,872,0.0036,0.0265,
datasets/BPI_Challenge_2017.xes,last3,400,Bigram,113,22,60,54240,10560,0.0025,0.0184,
datasets/BPI_Challenge_2017.xes,last3,400,W2V,113,22,48,21696,4224,0.0004,0.0026,0.0058
datasets/BPI_Challenge_2017.xes,last3,400,D2V,113,22,64,28928,5632,0.0619,0.4583,12.8284
datasets/BPI_Challenge_2017.xes,last3,400,BERT,113,22,128,57856,11264,0.1338,0.9914,1052.2936
datasets/BPI_Challenge_2017.xes,last3,400,ACF,113,22,8110,7331440,1427360,0.0027,0.0202,0.9305
datasets/BPI_Challenge_2017.xes,last5,400,Baseline,113,22,5,1130,220,0.003,0.0224,
datasets/BPI_Challenge_2017.xes,last5,400,OHE,113,22,88,7236,1400,0.0026,0.0192,
datasets/BPI_Challenge_2017.xes,last5,400,Bigram,113,22,74,66896,13024,0.0029,0.0212,
datasets/BPI_Challenge_2017.xes,last5,400,W2V,113,22,48,21696,4224,0.0003,0.0024,0.0059
datasets/BPI_Challenge_2017.xes,last5,400,D2V,113,22,64,28928,5632,0.0509,0.377,988.2423
datasets/BPI_Challenge_2017.xes,last5,400,BERT,113,22,128,57856,11264,0.1216,0.9009,88.3246
datasets/BPI_Challenge_2017.xes,last5,400,ACF,113,22,8110,7331440,1427360,0.0044,0.0329,0.7676
datasets/BPI_Challenge_2017.xes,last10,400,Baseline,113,22,10,2260,440,0.008,0.0589,
datasets/BPI_Challenge_2017.xes,last10,400,OHE,113,22,184,14016,2672,0.0055,0.0408,
datasets/BPI_Challenge_2017.xes,last10,400,Bigram,113,22,103,93112,18128,0.0056,0.0415,
datasets/BPI_Challenge_2017.xes,last10,400,W2V,113,22,48,21696,4224,0.0005,0.0034,0.0227
datasets/BPI_Challenge_2017.xes,last10,400,D2V,113,22,64,28928,5632,0.0724,0.5366,22.5086
datasets/BPI_Challenge_2017.xes,last10,400,BERT,113,22,128,57856,11264,0.1688,1.2504,9.3522
datasets/BPI_Challenge_2017.xes,last10,400,ACF,113,22,8110,7331440,1427360,0.0094,0.0695,1.7704
datasets/BPI_Challenge_2017.xes,last20,400,Baseline,113,22,20,4520,880,0.0131,0.0968,
datasets/BPI_Challenge_2017.xes,last20,400,OHE,113,22,361,27576,5192,0.0097,0.0719,
datasets/BPI_Challenge_2017.xes,last20,400,Bigram,113,22,118,106672,20768,0.0065,0.0478,
datasets/BPI_Challenge_2017.xes,last20,400,W2V,113,22,48,21696,4224,0.0005,0.0035,0.0102
datasets/BPI_Challenge_2017.xes,last20,400,D2V,113,22,64,28928,5632,0.0829,0.6143,12.8389
datasets/BPI_Challenge_2017.xes,last20,400,BERT,113,22,128,57856,11264,0.1553,1.1503,9.813
datasets/BPI_Challenge_2017.xes,last20,400,ACF,113,22,8110,7331440,1427360,0.0174,0.1287,1.9051
datasets/BPI_Challenge_2017.xes,last3,600,Baseline,110,21,3,660,126,0.0029,0.0223,
datasets/BPI_Challenge_2017.xes,last3,600,OHE,110,21,53,4404,844,0.0028,0.0216,
datasets/BPI_Challenge_2017.xes,last3,600,Bigram,110,21,63,55440,10584,0.0034,0.0261,
datasets/BPI_Challenge_2017.xes,last3,600,W2V,110,21,48,21120,4032,0.0005,0.0035,0.0061
datasets/BPI_Challenge_2017.xes,last3,600,D2V,110,21,64,28160,5376,0.069,0.5265,12.892
datasets/BPI_Challenge_2017.xes,last3,600,BERT,110,21,128,56320,10752,0.1637,1.2494,8.8275
datasets/BPI_Challenge_2017.xes,last3,600,ACF,110,21,8110,7136800,1362480,0.0052,0.0394,1.5127
datasets/BPI_Challenge_2017.xes,last5,600,Baseline,110,21,5,1100,210,0.0039,0.0301,
datasets/BPI_Challenge_2017.xes,last5,600,OHE,110,21,87,7044,1348,0.0036,0.0274,
datasets/BPI_Challenge_2017.xes,last5,600,Bigram,110,21,73,64240,12264,0.0041,0.031,
datasets/BPI_Challenge_2017.xes,last5,600,W2V,110,21,48,21120,4032,0.0005,0.0035,0.0056
datasets/BPI_Challenge_2017.xes,last5,600,D2V,110,21,64,28160,5376,0.072,0.5498,12.6349
datasets/BPI_Challenge_2017.xes,last5,600,BERT,110,21,128,56320,10752,0.1589,1.2129,9.0737
datasets/BPI_Challenge_2017.xes,last5,600,ACF,110,21,8110,7136800,1362480,0.0067,0.051,1.5246
datasets/BPI_Challenge_2017.xes,last10,600,Baseline,110,21,10,2200,420,0.0067,0.0514,
datasets/BPI_Challenge_2017.xes,last10,600,OHE,110,21,175,13644,2572,0.006,0.046,
datasets/BPI_Challenge_2017.xes,last10,600,Bigram,110,21,94,82720,15792,0.004,0.0306,
datasets/BPI_Challenge_2017.xes,last10,600,W2V,110,21,48,21120,4032,0.0004,0.0029,0.0069
datasets/BPI_Challenge_2017.xes,last10,600,D2V,110,21,64,28160,5376,0.0559,0.4269,12.616
datasets/BPI_Challenge_2017.xes,last10,600,BERT,110,21,128,56320,10752,0.1619,1.2359,7.3296
datasets/BPI_Challenge_2017.xes,last10,600,ACF,110,21,8110,7136800,1362480,0.0058,0.044,1025.0007
datasets/BPI_Challenge_2017.xes,last20,600,Baseline,110,21,20,4400,840,0.0204,0.1561,
datasets/BPI_Challenge_2017.xes,last20,600,OHE,110,21,360,26844,5056,0.0068,0.0521,
datasets/BPI_Challenge_2017.xes,last20,600,Bigram,110,21,118,103840,19824,0.0051,0.0387,
datasets/BPI_Challenge_2017.xes,last20,600,W2V,110,21,48,21120,4032,0.0004,0.0031,0.0131
datasets/BPI_Challenge_2017.xes,last20,600,D2V,110,21,64,28160,5376,0.0617,0.4712,914.5472
datasets/BPI_Challenge_2017.xes,last20,600,BERT,110,21,128,56320,10752,0.125,0.9538,936.8769
datasets/BPI_Challenge_2017.xes,last20,600,ACF,110,21,8110,7136800,1362480,0.0082,0.0627,1.0464
datasets/BPI_Challenge_2017.xes,last3,800,Baseline,106,21,3,636,126,0.0067,0.0525,
datasets/BPI_Challenge_2017.xes,last3,800,OHE,106,21,54,4244,784,0.0056,0.0442,
datasets/BPI_Challenge_2017.xes,last3,800,Bigram,106,21,60,50880,10080,0.005,0.0391,
datasets/BPI_Challenge_2017.xes,last3,800,W2V,106,21,48,20352,8064,0.001,0.0079,0.0056
datasets/BPI_Challenge_2017.xes,last3,800,D2V,106,21,64,27136,5376,0.0975,0.7674,10.7548
datasets/BPI_Challenge_2017.xes,last3,800,BERT,106,21,128,54272,10752,0.2908,2.2901,9.9689
datasets/BPI_Challenge_2017.xes,last3,800,ACF,106,21,8110,6877280,1362480,0.0087,0.0682,1.7883
datasets/BPI_Challenge_2017.xes,last5,800,Baseline,106,21,5,1060,210,0.0047,0.0372,
datasets/BPI_Challenge_2017.xes,last5,800,OHE,106,21,90,6788,1288,0.0031,0.0241,
datasets/BPI_Challenge_2017.xes,last5,800,Bigram,106,21,75,63600,12600,0.0028,0.0217,
datasets/BPI_Challenge_2017.xes,last5,800,W2V,106,21,48,20352,8064,0.0004,0.0033,0.0061
datasets/BPI_Challenge_2017.xes,last5,800,D2V,106,21,64,27136,5376,0.0492,0.3871,13.534
datasets/BPI_Challenge_2017.xes,last5,800,BERT,106,21,128,54272,10752,0.1331,1.0478,7.1458
datasets/BPI_Challenge_2017.xes,last5,800,ACF,106,21,8110,6877280,1362480,0.0032,0.0256,1054.1529
datasets/BPI_Challenge_2017.xes,last10,800,Baseline,106,21,10,2120,420,0.0224,0.176,
datasets/BPI_Challenge_2017.xes,last10,800,OHE,106,21,182,13148,2512,0.0167,0.1314,
datasets/BPI_Challenge_2017.xes,last10,800,Bigram,106,21,99,83952,16632,0.0208,0.164,
datasets/BPI_Challenge_2017.xes,last10,800,W2V,106,21,48,20352,8064,0.0017,0.0131,0.0069
datasets/BPI_Challenge_2017.xes,last10,800,D2V,106,21,64,27136,5376,0.3423,2.6952,907.5785
datasets/BPI_Challenge_2017.xes,last10,800,BERT,106,21,128,54272,10752,0.5709,4.4955,14.2421
datasets/BPI_Challenge_2017.xes,last10,800,ACF,106,21,8110,6877280,1362480,0.0248,0.1951,3.1783
datasets/BPI_Challenge_2017.xes,last20,800,Baseline,106,21,20,4240,840,0.0134,0.1051,
datasets/BPI_Challenge_2017.xes,last20,800,OHE,106,21,368,25868,5020,0.0091,0.0716,
datasets/BPI_Challenge_2017.xes,last20,800,Bigram,106,21,119,100912,19992,0.0068,0.0537,
datasets/BPI_Challenge_2017.xes,last20,800,W2V,106,21,48,20352,4032,0.0009,0.0073,0.0172
datasets/BPI_Challenge_2017.xes,last20,800,D2V,106,21,64,27136,5376,0.0866,0.6821,14.8012
datasets/BPI_Challenge_2017.xes,last20,800,BERT,106,21,128,54272,10752,0.1551,1.2214,9.3134
datasets/BPI_Challenge_2017.xes,last20,800,ACF,106,21,8110,6877280,1362480,0.0169,0.1333,1.5457
datasets/BPI_Challenge_2017.xes,last3,1000,Baseline,103,21,3,618,126,0.0031,0.025,
datasets/BPI_Challenge_2017.xes,last3,1000,OHE,103,21,51,4124,844,0.0029,0.0237,
datasets/BPI_Challenge_2017.xes,last3,1000,Bigram,103,21,68,56032,11424,0.0035,0.0283,
datasets/BPI_Challenge_2017.xes,last3,1000,W2V,103,21,48,19776,4032,0.0004,0.0035,0.0059
datasets/BPI_Challenge_2017.xes,last3,1000,D2V,103,21,64,26368,5376,0.065,0.524,12.3776
datasets/BPI_Challenge_2017.xes,last3,1000,BERT,103,21,128,52736,10752,0.147,1.1851,9.2494
datasets/BPI_Challenge_2017.xes,last3,1000,ACF,103,21,8110,6682640,1362480,0.0052,0.0416,1.5134
datasets/BPI_Challenge_2017.xes,last5,1000,Baseline,103,21,5,1030,210,0.0043,0.0347,
datasets/BPI_Challenge_2017.xes,last5,1000,OHE,103,21,85,6596,1336,0.0036,0.0287,
datasets/BPI_Challenge_2017.xes,last5,1000,Bigram,103,21,73,60152,12264,0.0039,0.0313,
datasets/BPI_Challenge_2017.xes,last5,1000,W2V,103,21,48,19776,4032,0.0005,0.0036,0.0062
datasets/BPI_Challenge_2017.xes,last5,1000,D2V,103,21,64,26368,5376,0.0676,0.5451,12.5253
datasets/BPI_Challenge_2017.xes,last5,1000,BERT,103,21,128,52736,10752,0.1511,1.2182,10.0069
datasets/BPI_Challenge_2017.xes,last5,1000,ACF,103,21,8110,6682640,1362480,0.0062,0.0501,1.6952
datasets/BPI_Challenge_2017.xes,last10,1000,Baseline,103,21,10,2060,420,0.0082,0.0665,
datasets/BPI_Challenge_2017.xes,last10,1000,OHE,103,21,176,12776,2584,0.0051,0.0409,
datasets/BPI_Challenge_2017.xes,last10,1000,Bigram,103,21,96,79104,16128,0.0063,0.0508,
datasets/BPI_Challenge_2017.xes,last10,1000,W2V,103,21,48,19776,4032,0.0004,0.0032,0.0066
datasets/BPI_Challenge_2017.xes,last10,1000,D2V,103,21,64,26368,5376,0.0578,0.4661,12.4199
datasets/BPI_Challenge_2017.xes,last10,1000,BERT,103,21,128,52736,10752,0.1177,0.9494,1032.6704
datasets/BPI_Challenge_2017.xes,last10,1000,ACF,103,21,8110,6682640,1362480,0.0076,0.0616,0.9051
datasets/BPI_Challenge_2017.xes,last20,1000,Baseline,103,21,20,4120,840,0.0173,0.1395,
datasets/BPI_Challenge_2017.xes,last20,1000,OHE,103,21,350,25136,5032,0.0115,0.0928,
datasets/BPI_Challenge_2017.xes,last20,1000,Bigram,103,21,114,93936,19152,0.0088,0.0708,
datasets/BPI_Challenge_2017.xes,last20,1000,W2V,103,21,48,19776,4032,0.0006,0.005,0.0084
datasets/BPI_Challenge_2017.xes,last20,1000,D2V,103,21,64,26368,5376,0.1075,0.8671,172.5526
datasets/BPI_Challenge_2017.xes,last20,1000,BERT,103,21,128,52736,10752,0.213,1.7175,10.4151
datasets/BPI_Challenge_2017.xes,last20,1000,ACF,103,21,8110,6682640,1362480,0.0243,0.196,1.5046
datasets/BPI_Challenge_2017.xes,last3,1200,Baseline,100,21,3,600,126,0.0034,0.0279,
datasets/BPI_Challenge_2017.xes,last3,1200,OHE,100,21,56,4004,832,0.0029,0.0236,
datasets/BPI_Challenge_2017.xes,last3,1200,Bigram,100,21,67,53600,11256,0.0034,0.0279,
datasets/BPI_Challenge_2017.xes,last3,1200,W2V,100,21,48,19200,4032,0.0004,0.0035,0.0068
datasets/BPI_Challenge_2017.xes,last3,1200,D2V,100,21,64,25600,5376,0.0632,0.5224,13.896
datasets/BPI_Challenge_2017.xes,last3,1200,BERT,100,21,128,51200,10752,0.1515,1.2517,8.9825
datasets/BPI_Challenge_2017.xes,last3,1200,ACF,100,21,8110,6488000,1362480,0.0046,0.0379,1.4859
datasets/BPI_Challenge_2017.xes,last5,1200,Baseline,100,21,5,1000,210,0.0048,0.0399,
datasets/BPI_Challenge_2017.xes,last5,1200,OHE,100,21,90,6404,1336,0.0035,0.029,
datasets/BPI_Challenge_2017.xes,last5,1200,Bigram,100,21,74,59200,12432,0.0036,0.0294,
datasets/BPI_Challenge_2017.xes,last5,1200,W2V,100,21,48,19200,4032,0.0004,0.0033,0.0056
datasets/BPI_Challenge_2017.xes,last5,1200,D2V,100,21,64,25600,5376,0.0597,0.4936,291.0547
datasets/BPI_Challenge_2017.xes,last5,1200,BERT,100,21,128,51200,10752,0.1449,1.1973,9.9835
datasets/BPI_Challenge_2017.xes,last5,1200,ACF,100,21,8110,6488000,1362480,0.0054,0.0447,1.8477
datasets/BPI_Challenge_2017.xes,last10,1200,Baseline,100,21,10,2000,420,0.0057,0.0469,
