dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,rf_max_depth,rf_max_features,rf_min_samples_leaf,rf_min_samples_split,rf_n_estimators
datasets/BPI_Challenge_2017.xes,prefix,1000,ACF,0.285714286,0.226556777,103,21,Success,6.775443792,10,log2,2,2,100
datasets/BPI_Challenge_2017.xes,prefix,1200,OHE,0.473684211,0.361403509,100,21,Success,5.397503138,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,prefix,1200,Bigram,0.315789474,0.228571429,100,21,Success,4.035052299,10,log2,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,1200,W2V,0.894736842,0.852631579,100,21,Success,3.973199368,10,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,prefix,1200,D2V,0.380952381,0.26814059,100,21,Success,4.057324648,10,sqrt,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,1200,BERT,0.736842105,0.730994152,100,21,Success,4.132942438,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,prefix,1200,ACF,0.368421053,0.306220096,100,21,Success,6.178985357,10,log2,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,1400,OHE,0.2,0.17,97,20,Success,6.079358816,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,prefix,1400,Bigram,0.3,0.27,97,20,Success,4.235071898,10,log2,2,2,100
datasets/BPI_Challenge_2017.xes,prefix,1400,W2V,0.5,0.475,97,20,Success,4.04674387,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,1400,D2V,0.35,0.371666667,97,20,Success,4.376904488,10,log2,1,2,200
datasets/BPI_Challenge_2017.xes,prefix,1400,BERT,0.55,0.574444444,97,20,Success,4.373057842,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,prefix,1400,ACF,0.25,0.241428571,97,20,Success,6.715090275,10,log2,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,1500,OHE,0.470588235,0.339393939,94,20,Success,5.648704529,10,log2,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,1500,Bigram,0.470588235,0.348357525,94,20,Success,4.022647381,10,log2,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,1500,W2V,0.705882353,0.712464986,94,20,Success,3.962739944,10,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,prefix,1500,D2V,0.4,0.273333333,94,20,Success,4.413277388,10,sqrt,2,5,200
datasets/BPI_Challenge_2017.xes,prefix,1500,BERT,0.764705882,0.76426025,94,20,Success,4.310134649,10,log2,2,5,100
datasets/BPI_Challenge_2017.xes,prefix,1500,ACF,0.411764706,0.36684492,94,20,Success,6.67716217,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,2000,OHE,0.333333333,0.271825397,86,18,Success,6.129355192,20,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,2000,Bigram,0.333333333,0.311026936,86,18,Success,4.195210934,10,sqrt,2,5,200
datasets/BPI_Challenge_2017.xes,prefix,2000,W2V,0.444444444,0.475228475,86,18,Success,4.039599657,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,prefix,2000,D2V,0.222222222,0.216931217,86,18,Success,4.175221682,10,log2,2,2,100
datasets/BPI_Challenge_2017.xes,prefix,2000,BERT,0.555555556,0.585016835,86,18,Success,4.191640615,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,prefix,2000,ACF,0.333333333,0.336026936,86,18,Success,6.434355259,10,sqrt,2,5,100
datasets/BPI_Challenge_2017.xes,last_k,100,OHE,0.7916666666666666,0.7335164835164836,117,24,Success,13.383455991744995,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,100,Bigram,0.8333333333333334,0.8025641025641027,117,24,Success,4.740576267242432,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,100,W2V,0.7916666666666666,0.7446581196581197,117,24,Success,4.483621120452881,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,100,D2V,0.5833333333333334,0.5559440559440559,117,24,Success,4.7790539264678955,10,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,100,BERT,0.8333333333333334,0.8194444444444443,117,24,Success,4.768077373504639,10,log2,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,100,ACF,0.7083333333333334,0.7258838383838384,117,24,Success,8.662376880645752,10,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,100,OHE,0.7916666666666666,0.7363247863247864,117,24,Success,4.037102699279785,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,100,Bigram,0.7083333333333334,0.6770833333333334,117,24,Success,4.278098821640015,20,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,100,W2V,0.75,0.6974053724053725,117,24,Success,4.119379043579102,10,log2,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,100,D2V,0.5416666666666666,0.5201923076923077,117,24,Success,4.663244962692261,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,100,BERT,0.75,0.6802579365079365,117,24,Success,5.07152247428894,20,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,100,ACF,0.625,0.6121031746031745,117,24,Success,8.60477066040039,10,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,100,OHE,0.7083333333333334,0.6723484848484849,117,24,Success,4.19182562828064,10,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,100,Bigram,0.5833333333333334,0.560897435897436,117,24,Success,4.915318250656128,10,sqrt,2,5,200
datasets/BPI_Challenge_2017.xes,last_k,100,W2V,0.75,0.6865079365079364,117,24,Success,4.342225074768066,10,sqrt,2,5,100
datasets/BPI_Challenge_2017.xes,last_k,100,D2V,0.4166666666666667,0.3843292124542124,117,24,Success,4.573086738586426,10,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,100,BERT,0.7083333333333334,0.6862373737373737,117,24,Success,4.787006378173828,10,log2,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,100,ACF,0.5416666666666666,0.546474358974359,117,24,Success,7.9711644649505615,20,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,100,OHE,0.7083333333333334,0.6599358974358974,117,24,Success,4.289357900619507,20,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,100,Bigram,0.5,0.4332386363636364,117,24,Success,4.199207305908203,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,100,W2V,0.7916666666666666,0.7831196581196581,117,24,Success,4.65330958366394,10,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,100,D2V,0.3333333333333333,0.31792186571598335,117,24,Success,4.945022106170654,10,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,100,BERT,0.6666666666666666,0.6527777777777778,117,24,Success,4.8524603843688965,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,100,ACF,0.5416666666666666,0.49732905982905984,117,24,Success,7.424184799194336,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,OHE,0.9047619047619048,0.8867724867724867,116,22,Success,4.100253105163574,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,Bigram,0.9047619047619048,0.8867724867724867,116,22,Success,4.076726913452148,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,W2V,0.9047619047619048,0.8867724867724867,116,22,Success,4.215351819992065,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,D2V,0.6363636363636364,0.5944510035419126,116,22,Success,5.213696718215942,20,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,BERT,0.9523809523809523,0.9555555555555554,116,22,Success,5.050282001495361,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,ACF,0.8571428571428571,0.8431013431013431,116,22,Success,10.308006525039673,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,OHE,0.9047619047619048,0.8867724867724867,116,22,Success,4.739217758178711,20,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,150,Bigram,0.9047619047619048,0.8639455782312925,116,22,Success,4.832367658615112,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,W2V,0.9047619047619048,0.8867724867724867,116,22,Success,4.240544080734253,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,D2V,0.5,0.4498556998556998,116,22,Success,4.400596618652344,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,150,BERT,0.9523809523809523,0.9555555555555554,116,22,Success,4.518789052963257,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,ACF,0.8095238095238095,0.7891156462585033,116,22,Success,9.845861434936523,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,OHE,0.8095238095238095,0.7866736438165008,116,22,Success,4.542093515396118,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,Bigram,0.6666666666666666,0.6263154834583405,116,22,Success,4.586166143417358,20,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,150,W2V,0.9047619047619048,0.8867724867724867,116,22,Success,5.0441954135894775,10,sqrt,1,2,200
