dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,input_dim,use_embedding,lstm_input_shape,status,train_time
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,D2V,0.6136363636363636,0.4839948783610755,178,44,64,False,"(178, 75, 64)",Success,5.474822044372559
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,BERT,0.6363636363636364,0.494949494949495,178,44,128,False,"(178, 75, 128)",Success,4.594876766204834
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,ACF,0.6363636363636364,0.494949494949495,178,44,381,False,"(178, 75, 381)",Success,5.157133340835571
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,Baseline,0.75,0.6428571428571428,138,40,3,True,"(138, 100)",Success,4.584074020385742
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,OHE,,,138,40,,,,"Error: cannot reshape array of size 41124 into shape (138,100,2)"
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,Bigram,,,138,40,,,,"Error: (slice(None, None, None), None, slice(None, None, None))"
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,W2V,0.75,0.6428571428571428,138,40,16,False,"(138, 100, 16)",Success,3.8747189044952393
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,D2V,0.725,0.6304347826086956,138,40,64,False,"(138, 100, 64)",Success,5.593370676040649
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,BERT,0.75,0.6428571428571428,138,40,128,False,"(138, 100, 128)",Success,6.561507940292358
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,ACF,0.75,0.6428571428571428,138,40,381,False,"(138, 100, 381)",Success,6.341601610183716
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,Baseline,0.625,0.4807692307692308,115,32,3,True,"(115, 125)",Success,5.444552659988403
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,OHE,,,115,32,,,,"Error: cannot reshape array of size 42895 into shape (115,125,2)"
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,Bigram,,,115,32,,,,"Error: (slice(None, None, None), None, slice(None, None, None))"
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,W2V,0.625,0.4807692307692308,115,32,16,False,"(115, 125, 16)",Success,5.219024181365967
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,D2V,0.59375,0.46568627450980393,115,32,64,False,"(115, 125, 64)",Success,7.603200912475586
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,BERT,0.625,0.4807692307692308,115,32,128,False,"(115, 125, 128)",Success,4.481360673904419
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,ACF,0.625,0.4807692307692308,115,32,381,False,"(115, 125, 381)",Success,4.953536748886108
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,Baseline,0.6538461538461539,0.516994633273703,92,26,3,True,"(92, 150)",Success,5.8728883266448975
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,OHE,,,92,26,,,,"Error: cannot reshape array of size 41032 into shape (92,150,2)"
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,Bigram,,,92,26,,,,"Error: (slice(None, None, None), None, slice(None, None, None))"
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,W2V,0.6538461538461539,0.516994633273703,92,26,16,False,"(92, 150, 16)",Success,5.593668460845947
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,D2V,0.6538461538461539,0.516994633273703,92,26,64,False,"(92, 150, 64)",Success,5.921329021453857
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,BERT,0.6538461538461539,0.516994633273703,92,26,128,False,"(92, 150, 128)",Success,5.8510308265686035
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,ACF,0.6538461538461539,0.516994633273703,92,26,381,False,"(92, 150, 381)",Success,6.5914318561553955
