dataset,strategy,length_or_k,method,n_train_traces,n_test_traces,n_features,train_matrix_bytes,test_matrix_bytes,encode_time_seconds,encode_time_per_trace_ms,pretrain_time_seconds
datasets/BPI_Challenge_2019.xes,last3,100,Baseline,258,65,3,1548,390,0.0052,0.0162,
datasets/BPI_Challenge_2019.xes,last3,100,OHE,258,65,53,10324,2556,0.0047,0.0146,
datasets/BPI_Challenge_2019.xes,last3,100,Bigram,258,65,60,123840,31200,0.0048,0.0149,
datasets/BPI_Challenge_2019.xes,last3,100,W2V,258,65,48,49536,24960,0.0008,0.0025,0.0403
datasets/BPI_Challenge_2019.xes,last3,100,D2V,258,65,64,66048,16640,0.1206,0.3732,6.0926
datasets/BPI_Challenge_2019.xes,last3,100,BERT,258,65,128,132096,33280,0.2818,0.8725,13.1793
datasets/BPI_Challenge_2019.xes,last3,100,ACF,258,65,9572,19756608,4977440,0.0133,0.0412,1.0641
datasets/BPI_Challenge_2019.xes,last5,100,Baseline,258,65,5,2580,650,0.0059,0.0183,
datasets/BPI_Challenge_2019.xes,last5,100,OHE,258,65,87,16516,4080,0.0044,0.0138,
datasets/BPI_Challenge_2019.xes,last5,100,Bigram,258,65,64,132096,33280,0.005,0.0154,
datasets/BPI_Challenge_2019.xes,last5,100,W2V,258,65,48,49536,24960,0.0008,0.0024,0.0074
datasets/BPI_Challenge_2019.xes,last5,100,D2V,258,65,64,66048,16640,0.1244,0.3852,5.9981
datasets/BPI_Challenge_2019.xes,last5,100,BERT,258,65,128,132096,33280,0.3062,0.9478,14.4865
datasets/BPI_Challenge_2019.xes,last5,100,ACF,258,65,9572,19756608,4977440,0.0185,0.0573,1.1525
datasets/BPI_Challenge_2019.xes,last10,100,Baseline,258,65,10,5160,1300,0.0087,0.027,
datasets/BPI_Challenge_2019.xes,last10,100,OHE,258,65,170,31996,7896,0.0054,0.0168,
datasets/BPI_Challenge_2019.xes,last10,100,Bigram,258,65,80,165120,41600,0.007,0.0216,
datasets/BPI_Challenge_2019.xes,last10,100,W2V,258,65,48,49536,24960,0.0009,0.0026,0.0092
datasets/BPI_Challenge_2019.xes,last10,100,D2V,258,65,64,66048,16640,0.1982,0.6136,6.1576
datasets/BPI_Challenge_2019.xes,last10,100,BERT,258,65,128,132096,33280,0.3583,1.1092,13.8848
datasets/BPI_Challenge_2019.xes,last10,100,ACF,258,65,9572,19756608,4977440,0.02,0.0618,1.0689
datasets/BPI_Challenge_2019.xes,last20,100,Baseline,258,65,20,10320,2600,0.0107,0.0331,
datasets/BPI_Challenge_2019.xes,last20,100,OHE,258,65,351,62956,15576,0.0073,0.0227,
datasets/BPI_Challenge_2019.xes,last20,100,Bigram,258,65,99,204336,51480,0.0091,0.0281,
datasets/BPI_Challenge_2019.xes,last20,100,W2V,258,65,48,49536,24960,0.0008,0.0024,0.0156
datasets/BPI_Challenge_2019.xes,last20,100,D2V,258,65,64,66048,16640,0.1515,0.469,5.7612
datasets/BPI_Challenge_2019.xes,last20,100,BERT,258,65,128,132096,33280,0.2923,0.9049,12.7965
datasets/BPI_Challenge_2019.xes,last20,100,ACF,258,65,9572,19756608,4977440,0.0274,0.0849,0.7691
datasets/BPI_Challenge_2019.xes,last3,150,Baseline,233,57,3,1398,342,0.0024,0.0084,
datasets/BPI_Challenge_2019.xes,last3,150,OHE,233,57,47,9324,2212,0.0019,0.0066,
datasets/BPI_Challenge_2019.xes,last3,150,Bigram,233,57,50,93200,22800,0.0036,0.0124,
datasets/BPI_Challenge_2019.xes,last3,150,W2V,233,57,48,44736,21888,0.0007,0.0025,0.0067
datasets/BPI_Challenge_2019.xes,last3,150,D2V,233,57,64,59648,14592,0.1038,0.3579,6.0535
datasets/BPI_Challenge_2019.xes,last3,150,BERT,233,57,128,119296,29184,0.259,0.893,12.2933
datasets/BPI_Challenge_2019.xes,last3,150,ACF,233,57,9572,17842208,4364832,0.0063,0.0217,0.7514
datasets/BPI_Challenge_2019.xes,last5,150,Baseline,233,57,5,2330,570,0.0033,0.0115,
datasets/BPI_Challenge_2019.xes,last5,150,OHE,233,57,79,14916,3532,0.0027,0.0094,
