dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,lgbm_colsample_bytree,lgbm_learning_rate,lgbm_max_depth,lgbm_min_child_samples,lgbm_n_estimators,lgbm_num_leaves
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,Bigram,0.6363636363636364,0.494949494949495,178,44,Success,10.098787307739258,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,W2V,0.6363636363636364,0.494949494949495,178,44,Success,6.824692249298096,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,D2V,0.6363636363636364,0.494949494949495,178,44,Success,10.282154321670532,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,BERT,0.6363636363636364,0.494949494949495,178,44,Success,11.516951322555542,0.8,0.01,-1,50,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,ACF,0.6363636363636364,0.494949494949495,178,44,Success,15.22752571105957,0.8,0.01,-1,50,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,Baseline,0.75,0.6428571428571428,138,40,Success,7.215073823928833,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,OHE,0.75,0.6428571428571428,138,40,Success,7.471458196640015,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,Bigram,0.75,0.6428571428571428,138,40,Success,6.0725390911102295,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,W2V,0.75,0.6428571428571428,138,40,Success,4.934421062469482,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,D2V,0.75,0.6428571428571428,138,40,Success,5.886721134185791,0.8,0.01,-1,50,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,BERT,0.675,0.6136363636363636,138,40,Success,6.335951805114746,0.8,0.01,-1,20,200,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,ACF,0.75,0.6428571428571428,138,40,Success,8.388379573822021,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,Baseline,0.625,0.4807692307692308,115,32,Success,6.187653541564941,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,OHE,0.625,0.4807692307692308,115,32,Success,6.334338426589966,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,Bigram,0.625,0.4807692307692308,115,32,Success,5.206297159194946,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,W2V,0.65625,0.5743371212121212,115,32,Success,5.845208406448364,0.8,0.1,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,D2V,0.625,0.4807692307692308,115,32,Success,5.442495107650757,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,BERT,0.625,0.4807692307692308,115,32,Success,5.836404323577881,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,ACF,0.625,0.4807692307692308,115,32,Success,7.7091758251190186,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,Baseline,0.6153846153846154,0.5868354618354619,92,26,Success,4.660078287124634,1.0,0.1,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,OHE,0.5769230769230769,0.5257374204742625,92,26,Success,4.136213302612305,0.8,0.1,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,Bigram,0.6538461538461539,0.516994633273703,92,26,Success,3.955535888671875,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,W2V,0.6153846153846154,0.5643335643335644,92,26,Success,3.3705289363861084,0.8,0.1,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,D2V,0.6153846153846154,0.4981684981684982,92,26,Success,4.005886554718018,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,BERT,0.6538461538461539,0.516994633273703,92,26,Success,4.371106386184692,0.8,0.01,-1,20,100,31
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,ACF,0.6538461538461539,0.516994633273703,92,26,Success,5.270259141921997,0.8,0.01,-1,20,100,31
