dataset,strategy,length_or_k,method,n_train_traces,n_test_traces,n_features,train_matrix_bytes,test_matrix_bytes,encode_time_seconds,encode_time_per_trace_ms,pretrain_time_seconds
datasets/BPI_Challenge_2013_Incidents.xes,last3,10,Baseline,552,144,3,3312,864,0.0135,0.0194,
datasets/BPI_Challenge_2013_Incidents.xes,last3,10,OHE,552,144,9,22084,5764,0.0089,0.0128,
datasets/BPI_Challenge_2013_Incidents.xes,last3,10,Bigram,552,144,12,52992,13824,0.006,0.0086,
datasets/BPI_Challenge_2013_Incidents.xes,last3,10,W2V,552,144,48,105984,27648,0.0029,0.0041,0.0269
datasets/BPI_Challenge_2013_Incidents.xes,last3,10,D2V,552,144,64,141312,36864,0.264,0.3793,0.9646
datasets/BPI_Challenge_2013_Incidents.xes,last3,10,BERT,552,144,128,282624,73728,0.689,0.9899,31.2127
datasets/BPI_Challenge_2013_Incidents.xes,last3,10,ACF,552,144,381,1682496,438912,0.0052,0.0075,0.0591
datasets/BPI_Challenge_2013_Incidents.xes,last5,10,Baseline,552,144,5,5520,1440,0.0062,0.0089,
datasets/BPI_Challenge_2013_Incidents.xes,last5,10,OHE,552,144,15,35332,9220,0.0041,0.0058,
datasets/BPI_Challenge_2013_Incidents.xes,last5,10,Bigram,552,144,12,52992,13824,0.0111,0.0159,
datasets/BPI_Challenge_2013_Incidents.xes,last5,10,W2V,552,144,48,105984,27648,0.002,0.0029,0.0097
datasets/BPI_Challenge_2013_Incidents.xes,last5,10,D2V,552,144,64,141312,36864,0.2555,0.3671,1.1903
datasets/BPI_Challenge_2013_Incidents.xes,last5,10,BERT,552,144,128,282624,73728,0.6818,0.9796,28.8238
datasets/BPI_Challenge_2013_Incidents.xes,last5,10,ACF,552,144,381,1682496,438912,0.005,0.0072,0.047
datasets/BPI_Challenge_2013_Incidents.xes,last10,10,Baseline,552,144,10,11040,2880,0.0168,0.0241,
datasets/BPI_Challenge_2013_Incidents.xes,last10,10,OHE,552,144,30,68452,17848,0.0059,0.0084,
datasets/BPI_Challenge_2013_Incidents.xes,last10,10,Bigram,552,144,13,57408,14976,0.0048,0.0069,
datasets/BPI_Challenge_2013_Incidents.xes,last10,10,W2V,552,144,48,105984,27648,0.0022,0.0032,0.0162
datasets/BPI_Challenge_2013_Incidents.xes,last10,10,D2V,552,144,64,141312,36864,0.2748,0.3948,1.1186
datasets/BPI_Challenge_2013_Incidents.xes,last10,10,BERT,552,144,128,282624,73728,0.6828,0.9811,28.1374
datasets/BPI_Challenge_2013_Incidents.xes,last10,10,ACF,552,144,381,1682496,438912,0.0059,0.0085,0.0421
datasets/BPI_Challenge_2013_Incidents.xes,last20,10,Baseline,552,144,10,11040,2880,0.0079,0.0113,
datasets/BPI_Challenge_2013_Incidents.xes,last20,10,OHE,552,144,30,68452,17848,0.0046,0.0066,
datasets/BPI_Challenge_2013_Incidents.xes,last20,10,Bigram,552,144,13,57408,14976,0.0039,0.0055,
datasets/BPI_Challenge_2013_Incidents.xes,last20,10,W2V,552,144,48,105984,27648,0.0017,0.0024,0.0129
datasets/BPI_Challenge_2013_Incidents.xes,last20,10,D2V,552,144,64,141312,36864,0.2688,0.3862,0.9863
datasets/BPI_Challenge_2013_Incidents.xes,last20,10,BERT,552,144,128,282624,73728,0.6395,0.9188,29.1073
datasets/BPI_Challenge_2013_Incidents.xes,last20,10,ACF,552,144,381,1682496,438912,0.005,0.0072,0.038
datasets/BPI_Challenge_2013_Incidents.xes,last3,20,Baseline,389,109,3,2334,654,0.0031,0.0063,
datasets/BPI_Challenge_2013_Incidents.xes,last3,20,OHE,389,109,9,15564,4364,0.002,0.004,
datasets/BPI_Challenge_2013_Incidents.xes,last3,20,Bigram,389,109,12,37344,10464,0.0019,0.0039,
datasets/BPI_Challenge_2013_Incidents.xes,last3,20,W2V,389,109,48,74688,20928,0.0012,0.0024,0.0077
datasets/BPI_Challenge_2013_Incidents.xes,last3,20,D2V,389,109,64,99584,27904,0.1813,0.364,0.9743
datasets/BPI_Challenge_2013_Incidents.xes,last3,20,BERT,389,109,128,199168,55808,0.5325,1.0693,28.3386
datasets/BPI_Challenge_2013_Incidents.xes,last3,20,ACF,389,109,381,1185672,332232,0.0033,0.0066,0.037
datasets/BPI_Challenge_2013_Incidents.xes,last5,20,Baseline,389,109,5,3890,1090,0.0051,0.0103,
datasets/BPI_Challenge_2013_Incidents.xes,last5,20,OHE,389,109,15,24900,6980,0.0041,0.0082,
datasets/BPI_Challenge_2013_Incidents.xes,last5,20,Bigram,389,109,12,37344,10464,0.0026,0.0051,
datasets/BPI_Challenge_2013_Incidents.xes,last5,20,W2V,389,109,48,74688,20928,0.0015,0.0031,0.0097
datasets/BPI_Challenge_2013_Incidents.xes,last5,20,D2V,389,109,64,99584,27904,0.1921,0.3858,1.0725
datasets/BPI_Challenge_2013_Incidents.xes,last5,20,BERT,389,109,128,199168,55808,0.5305,1.0653,30.0287
datasets/BPI_Challenge_2013_Incidents.xes,last5,20,ACF,389,109,381,1185672,332232,0.0032,0.0064,0.0389
datasets/BPI_Challenge_2013_Incidents.xes,last10,20,Baseline,389,109,10,7780,2180,0.0051,0.0103,
datasets/BPI_Challenge_2013_Incidents.xes,last10,20,OHE,389,109,30,48240,13520,0.0041,0.0083,
datasets/BPI_Challenge_2013_Incidents.xes,last10,20,Bigram,389,109,12,37344,10464,0.0027,0.0054,
datasets/BPI_Challenge_2013_Incidents.xes,last10,20,W2V,389,109,48,74688,20928,0.0011,0.0022,0.0112
datasets/BPI_Challenge_2013_Incidents.xes,last10,20,D2V,389,109,64,99584,27904,0.1895,0.3806,0.9506
datasets/BPI_Challenge_2013_Incidents.xes,last10,20,BERT,389,109,128,199168,55808,0.4513,0.9063,26.8414
datasets/BPI_Challenge_2013_Incidents.xes,last10,20,ACF,389,109,381,1185672,332232,0.0036,0.0073,0.0321
datasets/BPI_Challenge_2013_Incidents.xes,last20,20,Baseline,389,109,20,15560,4360,0.0101,0.0204,
datasets/BPI_Challenge_2013_Incidents.xes,last20,20,OHE,389,109,59,94920,26588,0.007,0.014,
datasets/BPI_Challenge_2013_Incidents.xes,last20,20,Bigram,389,109,11,34232,9592,0.0039,0.0078,
datasets/BPI_Challenge_2013_Incidents.xes,last20,20,W2V,389,109,48,74688,20928,0.0012,0.0024,0.016
datasets/BPI_Challenge_2013_Incidents.xes,last20,20,D2V,389,109,64,99584,27904,0.2164,0.4346,0.961
datasets/BPI_Challenge_2013_Incidents.xes,last20,20,BERT,389,109,128,199168,55808,0.4315,0.8664,26.825
datasets/BPI_Challenge_2013_Incidents.xes,last20,20,ACF,389,109,381,1185672,332232,0.0056,0.0112,0.0353
datasets/BPI_Challenge_2013_Incidents.xes,last3,30,Baseline,310,86,3,1860,516,0.0039,0.0098,
datasets/BPI_Challenge_2013_Incidents.xes,last3,30,OHE,310,86,9,12404,3444,0.0027,0.0069,
datasets/BPI_Challenge_2013_Incidents.xes,last3,30,Bigram,310,86,12,29760,8256,0.0016,0.004,
datasets/BPI_Challenge_2013_Incidents.xes,last3,30,W2V,310,86,48,59520,16512,0.0012,0.003,0.0069
datasets/BPI_Challenge_2013_Incidents.xes,last3,30,D2V,310,86,64,79360,22016,0.138,0.3485,0.9157
datasets/BPI_Challenge_2013_Incidents.xes,last3,30,BERT,310,86,128,158720,44032,0.3545,0.8952,27.4666
