dataset,strategy,length_or_k,method,n_train_traces,n_test_traces,n_features,train_matrix_bytes,test_matrix_bytes,encode_time_seconds,encode_time_per_trace_ms,pretrain_time_seconds
datasets/BPI_Challenge_2018.xes,last3,100,Baseline,123,31,3,738,186,0.0032,0.0207,
datasets/BPI_Challenge_2018.xes,last3,100,OHE,123,31,53,4924,1220,0.003,0.0197,
datasets/BPI_Challenge_2018.xes,last3,100,Bigram,123,31,72,70848,17856,0.0031,0.02,
datasets/BPI_Challenge_2018.xes,last3,100,W2V,123,31,48,23616,11904,0.0004,0.0025,0.0463
datasets/BPI_Challenge_2018.xes,last3,100,D2V,123,31,64,31488,7936,0.0578,0.3752,8.8695
datasets/BPI_Challenge_2018.xes,last3,100,BERT,123,31,128,62976,15872,0.1376,0.8934,4.2293
datasets/BPI_Challenge_2018.xes,last3,100,ACF,123,31,20927,20592168,5189896,0.0079,0.0514,2.4326
datasets/BPI_Challenge_2018.xes,last5,100,Baseline,123,31,5,1230,310,0.0165,0.1073,
datasets/BPI_Challenge_2018.xes,last5,100,OHE,123,31,86,7876,1964,0.0048,0.0312,
datasets/BPI_Challenge_2018.xes,last5,100,Bigram,123,31,78,76752,19344,0.0036,0.0234,
datasets/BPI_Challenge_2018.xes,last5,100,W2V,123,31,48,23616,11904,0.0006,0.0038,0.006
datasets/BPI_Challenge_2018.xes,last5,100,D2V,123,31,64,31488,7936,0.0669,0.4344,8.915
datasets/BPI_Challenge_2018.xes,last5,100,BERT,123,31,128,62976,15872,0.2333,1.5152,4.2607
datasets/BPI_Challenge_2018.xes,last5,100,ACF,123,31,20927,20592168,5189896,0.0265,0.1721,11.1005
datasets/BPI_Challenge_2018.xes,last10,100,Baseline,123,31,10,2460,620,0.0172,0.1117,
datasets/BPI_Challenge_2018.xes,last10,100,OHE,123,31,172,15256,3812,0.0056,0.0366,
datasets/BPI_Challenge_2018.xes,last10,100,Bigram,123,31,96,94464,23808,0.0047,0.0303,
datasets/BPI_Challenge_2018.xes,last10,100,W2V,123,31,48,23616,5952,0.0005,0.003,0.0078
datasets/BPI_Challenge_2018.xes,last10,100,D2V,123,31,64,31488,7936,0.0657,0.4263,12.6817
datasets/BPI_Challenge_2018.xes,last10,100,BERT,123,31,128,62976,15872,0.1703,1.1056,4.7733
datasets/BPI_Challenge_2018.xes,last10,100,ACF,123,31,20927,20592168,5189896,0.0243,0.1575,8.9094
datasets/BPI_Challenge_2018.xes,last20,100,Baseline,123,31,20,4920,1240,0.0122,0.0792,
datasets/BPI_Challenge_2018.xes,last20,100,OHE,123,31,340,30016,7412,0.0072,0.0465,
datasets/BPI_Challenge_2018.xes,last20,100,Bigram,123,31,112,110208,27776,0.0054,0.0348,
datasets/BPI_Challenge_2018.xes,last20,100,W2V,123,31,48,23616,5952,0.0005,0.0031,0.0111
datasets/BPI_Challenge_2018.xes,last20,100,D2V,123,31,64,31488,7936,0.0759,0.4931,10.2642
datasets/BPI_Challenge_2018.xes,last20,100,BERT,123,31,128,62976,15872,0.1414,0.9182,4.1926
datasets/BPI_Challenge_2018.xes,last20,100,ACF,123,31,20927,20592168,5189896,0.0425,0.2757,2.6258
datasets/BPI_Challenge_2018.xes,last3,150,Baseline,121,31,3,726,186,0.0044,0.0287,
datasets/BPI_Challenge_2018.xes,last3,150,OHE,121,31,48,4844,1220,0.0025,0.0166,
datasets/BPI_Challenge_2018.xes,last3,150,Bigram,121,31,60,58080,14880,0.0027,0.0179,
datasets/BPI_Challenge_2018.xes,last3,150,W2V,121,31,48,23232,5952,0.0004,0.0027,0.0072
datasets/BPI_Challenge_2018.xes,last3,150,D2V,121,31,64,30976,7936,0.0565,0.3717,9.8244
datasets/BPI_Challenge_2018.xes,last3,150,BERT,121,31,128,61952,15872,0.1355,0.8912,4.376
datasets/BPI_Challenge_2018.xes,last3,150,ACF,121,31,20927,20257336,5189896,0.0162,0.1065,2.2897
datasets/BPI_Challenge_2018.xes,last5,150,Baseline,121,31,5,1210,310,0.014,0.0923,
datasets/BPI_Challenge_2018.xes,last5,150,OHE,121,31,77,7748,1952,0.0041,0.027,
datasets/BPI_Challenge_2018.xes,last5,150,Bigram,121,31,70,67760,17360,0.0033,0.0214,
datasets/BPI_Challenge_2018.xes,last5,150,W2V,121,31,48,23232,5952,0.0005,0.0032,0.0075
datasets/BPI_Challenge_2018.xes,last5,150,D2V,121,31,64,30976,7936,0.059,0.3883,10.095
datasets/BPI_Challenge_2018.xes,last5,150,BERT,121,31,128,61952,15872,0.1888,1.2422,5.458
datasets/BPI_Challenge_2018.xes,last5,150,ACF,121,31,20927,20257336,5189896,0.0185,0.1214,3.8627
datasets/BPI_Challenge_2018.xes,last10,150,Baseline,121,31,10,2420,620,0.0064,0.0423,
datasets/BPI_Challenge_2018.xes,last10,150,OHE,121,31,156,15008,3740,0.004,0.0266,
datasets/BPI_Challenge_2018.xes,last10,150,Bigram,121,31,86,83248,21328,0.0042,0.0274,
datasets/BPI_Challenge_2018.xes,last10,150,W2V,121,31,48,23232,5952,0.0004,0.0027,0.0078
datasets/BPI_Challenge_2018.xes,last10,150,D2V,121,31,64,30976,7936,0.0642,0.4225,10.3801
datasets/BPI_Challenge_2018.xes,last10,150,BERT,121,31,128,61952,15872,0.1385,0.9114,4.2663
datasets/BPI_Challenge_2018.xes,last10,150,ACF,121,31,20927,20257336,5189896,0.0277,0.1819,2.4233
datasets/BPI_Challenge_2018.xes,last20,150,Baseline,121,31,20,4840,1240,0.0137,0.0901,
datasets/BPI_Challenge_2018.xes,last20,150,OHE,121,31,327,29528,7388,0.0083,0.0546,
datasets/BPI_Challenge_2018.xes,last20,150,Bigram,121,31,108,104544,26784,0.006,0.0396,
datasets/BPI_Challenge_2018.xes,last20,150,W2V,121,31,48,23232,5952,0.0005,0.003,0.012
datasets/BPI_Challenge_2018.xes,last20,150,D2V,121,31,64,30976,7936,0.0862,0.5672,9.3791
datasets/BPI_Challenge_2018.xes,last20,150,BERT,121,31,128,61952,15872,0.2172,1.4289,4.5692
datasets/BPI_Challenge_2018.xes,last20,150,ACF,121,31,20927,20257336,5189896,0.0342,0.225,2.7905
datasets/BPI_Challenge_2018.xes,last3,200,Baseline,119,31,3,714,186,0.008,0.0536,
