dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,lgbm_colsample_bytree,lgbm_learning_rate,lgbm_max_depth,lgbm_n_estimators,lgbm_subsample
datasets/BPI_Challenge_2018.xes,prefix,100,Baseline,0.43333333333333335,0.3584848484848485,123,31,Success,36.87707805633545,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2018.xes,prefix,100,OHE,0.3333333333333333,0.2536130536130536,123,31,Success,22.205440282821655,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,100,Bigram,0.4,0.3798989898989899,123,31,Success,26.383639574050903,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,100,W2V,0.43333333333333335,0.40619047619047616,123,31,Success,31.870769500732422,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,100,D2V,0.2903225806451613,0.2595307917888563,123,31,Success,36.3669273853302,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,100,BERT,0.5,0.4788888888888889,123,31,Success,40.04931712150574,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,100,ACF,0.43333333333333335,0.40815295815295816,123,31,Success,2152.18652510643,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2018.xes,prefix,150,Baseline,0.6,0.5764957264957266,121,31,Success,30.71513557434082,1.0,0.05,-1,200,0.8
datasets/BPI_Challenge_2018.xes,prefix,150,OHE,0.4666666666666667,0.42142857142857143,121,31,Success,20.25039052963257,1.0,0.05,-1,200,0.8
datasets/BPI_Challenge_2018.xes,prefix,150,Bigram,0.43333333333333335,0.418,121,31,Success,21.535091876983643,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,150,W2V,0.5666666666666667,0.5339506172839507,121,31,Success,25.217360734939575,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,150,D2V,0.2903225806451613,0.26881720430107525,121,31,Success,35.336843729019165,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,150,BERT,0.5666666666666667,0.5306666666666666,121,31,Success,37.44295382499695,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2018.xes,prefix,200,Baseline,0.5,0.445508658008658,119,31,Success,29.38243532180786,0.8,0.1,-1,100,0.8
